nwHBd,nHCHnX,SwHBd,SHCHnX, minwHBd, minHCHnX, maxwHBd, maxHCHnX, FPSA_3, TPSA, Wnu2.unity, WK.unity, Wlambda3.mass, Wnu2.mass, WK.mass, Weta3.volume, Gyration_Mean, Gyration_SD, SASA_Mean, SASA_SD, Potential_energy_Mean, Potential_energy_SD, Total_energy_Mean, Total_energy_SD, Outcome
0,0,0,0,0,0,0,0,0.036738,177.689348,0.194498,0.28346,1.610992,0.736189,-0.200556,0.281929,1.84,0.02,135.51,3.57,-1139904.12,1113.63,-945382.14,1399.97,1
0,0,0,0,0,0,0,0,0.057361,344.250168,0.378796,0.142913,11.873393,0.355874,0.173379,0.487765,1.83,0.01,130.44,3.02,-1340161.68,1182.28,-1111391.39,1468.42,1
1,1,0.982364,0.982364,0.982364,0.982364,0.982364,0.982364,0.046099,247.265423,0.319796,0.209656,1.155821,0.250674,-0.198107,0.460214,1.81,0.01,130.8,2.79,-1139917.57,1133.69,-945514.36,1410.4,1
0,0,0,0,0,0,0,0,0.04109,200.690764,0.35373,0.170335,1.178851,0.346015,-0.200407,0.494387,1.83,0.03,132.5,5.16,-1139706.7,1124.201024,-945288.99,1419.27,1
0,0,0,0,0,0,0,0,0.040887,218.222389,0.167366,0.303788,23.508917,0.158663,0.323269,0.55245,1.84,0.02,133.9,2.59,-1139286.33,1151.27,-944932.56,1419.92,0
0,0,0,0,0,0,0,0,0.034906,180.519833,0.202846,0.305233,22.872191,0.184431,0.322959,0.326859,1.81,0.01,131.89,3.59,-1139599.77,1159.93,-945140.47,1458.49,0
0,0,0,0,0,0,0,0,0.038032,212.644368,0.358731,0.169423,10.360004,0.380866,0.159396,0.557012,1.82,0.03,129.21,3.29,-1139576.69,1119.55,-945161.43,1410.29,0
0,0,0,0,0,0,0,0,0.040596,207.330659,0.268715,0.243393,15.334915,0.319204,0.214097,0.474451,1.82,0.02,131.68,3.91,-1318934.21,1218.26,-1093769.04,1535.49,0
0,0,0,0,0,0,0,0,0.041469,219.539952,0.225213,0.244359,4.83739,0.615682,-0.041531,0.371145,1.8,0.01,130.83,2.17,-1139527.91,1108.58,-945127.23,1419.6,0
0,0,0,0,0,0,0,0,0.035039,202.771635,0.177161,0.330436,24.116385,0.183061,0.336182,0.540368,1.83,0.01,133.88,3.33,-1139863.69,1110.62,-945388.41,1412.46,0
